X,Y,OBJECTID,LSN,POI_NAME,POI_TYPE,POI_SOURCE,PHONE_NUM,GLOBALID,WEBSITE
-82.906183156275745,40.056211898577892,5712727,4216 EASTON GATEWAY DR,Petco ,Retail - Commercial/Retail,,,{A5CB5213-E4AF-4821-853D-53004AEC829B},
-82.909584490185225,40.055320677845877,5712728,4000 STELZER RD,J Alexanders,Retail - Restaurant,Restaurant DB,6144768348,{6F262E9B-F852-4094-8D5C-E1DA5887CCCD},
-82.907296709721436,40.055375622342893,5712729,4190 WORTH AVE,FUSIAN,Retail - Restaurant,,6145328383,{253360F6-C64B-4304-B020-3A13DDC8A37F},
-82.907449632134245,40.055231124114556,5712730,4182 WORTH AVE,Charming Charlie,Retail - Commercial/Retail,,,{16D571C2-8032-4C6C-874E-50672D41EF8E},
-82.908297205034074,40.054618736520254,5712731,3940 STELZER RD,Saks Off 5th,Retail - Commercial/Retail,,,{BF8894A7-FC52-4087-A380-2A34D6F27817},
-82.907863881815331,40.055251960131656,5712732,4168 WORTH AVE,Jos. A. Bank,Retail - Commercial/Retail,,,{B3DC1040-CD28-4705-AA50-56404B404875},
-82.90724996615252,40.055005872268964,5712733,4191 WORTH AVE,Fab'rik,Retail - Commercial/Retail,,,{A57EAC02-B912-4338-9106-9F4EEE9F1C9D},
-82.906880840530562,40.0549971478532,5712734,4207 WORTH AVE,Bath & Body Works,Retail - Commercial/Retail,,,{300F9DD7-BA4B-4D97-BBE3-008503845202},
-82.90708648356987,40.055362825375227,5712735,4198 WORTH AVE,Hot Chicken Takeover,Retail - Restaurant,CBLD1707961,6145327435,{0F16D14E-B561-4D4F-8B92-6C12C3C96BB4},
-82.90534638115723,40.054742870890529,5712736,4304 EASTON GATEWAY DR,Dick's Sporting Goods,Retail - Department Store,,,{FF780DFE-9E76-42BE-BBCF-25293FC69686},
-82.907878512448477,40.055025765391051,5712737,4169 WORTH AVE,Ted's Montana Grill,Retail - Restaurant,,,{4B7EDEE2-D33E-4400-A3B7-1DA4074047B4},
-82.909066424495748,40.054652826158964,5712738,3960 STELZER RD,Sleep Number,Retail - Commercial/Retail,,,{62451280-0848-46E6-9798-9F4CCD6958A8},
-82.909794570175265,40.055835941996698,5712739,4020 STELZER RD,BJ's Restaurant & Brewhouse,Retail - Restaurant,,6145329560,{4700BC1B-3B22-4BEF-B00E-96F2B6ABA241},
-82.90756266768895,40.055245496820966,5712740,4178 WORTH AVE,Anthony Vince Nail Spa,Retail - Services,,,{571455EF-6D7A-4C6B-BE75-A25D92C6B988},
-82.905317227839831,40.055278560067265,5712741,4280 EASTON GATEWAY DR,Field & Stream,Retail - Commercial/Retail,,,{C4BB19EF-3653-4E81-BE0D-F4DEC634FECB},
-82.90556075942439,40.055782467596806,5712742,4250 EASTON GATEWAY DR,Golf Galaxy,Retail - Commercial/Retail,,,{2537D7A9-7FE4-4456-9C8B-14E443B71700},
-82.905922679685531,40.056029138687933,5712743,4228 EASTON GATEWAY DR,La-Z-Boy Furniture Galleries,Retail - Commercial/Retail,,,{8F3FCEC6-A888-4C77-8B79-75ABE0EBE13B},
-82.907447396459602,40.056639923811773,5712744,4170 EASTON GATEWAY DR,Elm & Iron,Retail - Commercial/Retail,,,{4ECF9AB9-8F26-41EF-8B7A-8AA4F1F14213},
-83.044719587711938,39.987131812531601,5712745,1439 GRANDVIEW AVE,Alchemy Cafe,Retail - Restaurant,,614-725-0255,{6A4F654A-E4F2-44FC-A2F5-14175799C2D9},
-82.907689345388363,40.055801248455417,5712746,4175 WEAVERTON LN,Payless,Retail - Commercial/Retail,,,{BCD823F1-204C-47A4-A412-8B2B47C03059},
-82.907029165563003,40.056575746237698,5712747,4184 EASTON GATEWAY DR,The Container Store,Retail - Department Store,,,{CFECAEE7-6E65-4017-8988-1E975233709A},
-82.90686077198805,40.055774589051161,5712748,4205 WEAVERTON LN,Pies & Pints,Retail - Restaurant,,,{0798AC58-FC34-47B4-A5A5-175D34A1B1D1},
-82.907010139900734,40.055778074117733,5712749,4201 WEAVERTON LN,CycleBar ,Retail - Services,,,{0021EEAE-6A9C-4393-82C6-8CAF5FB4FAC6},
-82.909726812715121,40.056826915748424,5712750,4100 EASTON GATEWAY DR,Whole Foods Market,Retail - Grocery,,,{470198FB-5A35-4F4A-BDB3-D9579182C466},
-82.907386938763139,40.055787505539314,5712751,4185 WEAVERTON LN,True REST Float Spa,Retail - Services,,,{55065051-B65F-4B05-A87D-544434764EF2},
-82.907513664037594,40.055793063329588,5712752,4181 WEAVERTON LN,Core Power Yoga,Retail - Services,,,{ADA20828-BD74-4596-BE72-CE2B1AAF095D},
-82.908182608625737,40.056701769003723,5712753,4154 SEWARD ST,Chuy's,Retail - Restaurant,,6144980285,{9374485F-7952-45CA-9687-5B5A70322405},
